ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,Acme Corporation,5,"T001,T002,T999",enterprise,"{""industry"": ""technology"", ""region"": ""north"", ""contract_value"": 50000}"
C002,Global Solutions Inc,6,"T002,T004",enterprise,"{""industry"": ""consulting"", ""region"": ""south"", ""contract_value"": 35000}"
C003,StartupXYZ,2,"T001,T005",startup,"{""industry"": ""fintech"", ""region"": ""east"", ""contract_value"": 15000}"
C004,Local Business Ltd,3,"T003,T006",sme,"{""industry"": ""retail"", ""region"": ""west"", ""contract_value"": 8000}"
C005,Innovation Labs,5,"T001,T002,T004,T005",enterprise,"{""industry"": ""research"", ""region"": ""central"", ""contract_value"": 75000}"
C006,Quick Services,0,"T006",sme,"{""industry"": ""services"", ""region"": ""north"", ""contract_value"": 3000}"
C007,Data Corp,4,"T002,T003,T007",enterprise,"{""industry"": ""data"", ""region"": ""south"", ""contract_value"": 45000}"
C008,Green Energy Co,3,"T005,T008",startup,"{""industry"": ""energy"", ""region"": ""east"", ""contract_value"": 25000}"
C009,Healthcare Plus,5,"T001,T003,T009",enterprise,"{""industry"": ""healthcare"", ""region"": ""central"", ""contract_value"": 60000}"
C010,Digital Agency,2,"T004,T010",sme,"{""industry"": ""marketing"", ""region"": ""west"", ""contract_value"": 12000}"
C011,Duplicate Corp,4,"T001,T002",enterprise,"{""industry"": ""tech"", ""region"": ""north"", ""contract_value"": 40000}"
C011,Duplicate Corp 2,4,"T001,T002",enterprise,"{""industry"": ""tech"", ""region"": ""north"", ""contract_value"": 40000}"
C012,Broken JSON Corp,3,"T001",sme,"{""industry"": ""tech"", ""region"": ""north"", ""contract_value"": 40000}"
